time,bits/s
1574443952.750273,115550374.83931632
1574443952.854216,115526516.47612512
1574443952.958042,114972757.40704663
1574443953.062118,115261836.56153734
1574443953.162209,119377361.08140004
1574443953.26583,110964050.3817404
1574443953.365925,119520492.79098405
1574443953.469575,111937278.71318886
1574443953.56964,118721677.44045618
1574443953.673285,111166269.90664807
1574443953.773367,119294835.45270345
1574443953.877013,110829737.59264903
1574443953.977108,119713883.79610968
1574443954.080669,111477188.00156645
1574443954.180757,119287726.56367767
1574443954.284438,111138385.66884899
1574443954.388386,114945740.5159191
1574443954.488446,118962971.74487361
1574443954.59213,112117578.01251565
1574443954.692214,118816260.02711438
1574443954.795787,111552365.79210353
1574443954.895855,119403824.50578986
1574443954.999416,111933396.61666694
1574443955.103262,114636831.82503055
1574443955.203322,118710923.63969213
1574443955.307037,111747780.62052946
1574443955.407133,119519638.10860829
1574443955.510812,112034148.67717572
1574443955.614688,114800208.59682712
1574443955.718666,115369461.27443041
1574443955.818746,119284314.59788005
1574443955.922212,110890447.38142334
1574443956.022309,119864221.78254071
1574443956.125745,111155212.84218343
1574443956.22583,119062059.72502896
1574443956.329353,112067275.18419112
1574443956.429471,119236567.56279977
1574443956.532904,111036759.35156675
1574443956.632995,119617203.73385447
1574443956.736678,112487603.4843253
1574443956.840561,114244483.07526837
1574443956.940655,119262710.01294044
1574443957.044408,111146095.5961725
1574443957.144461,119043047.16225305
1574443957.248227,111589578.88793506
1574443957.348324,119057235.06698799
1574443957.452024,111339457.03412718
1574443957.556001,115006297.61497281
1574443957.656073,118366016.35668279
1574443957.759821,112267529.67340398
1574443957.863822,115104537.4614439
1574443957.963947,119588417.46591659
1574443958.067428,110948252.91236876
1574443958.1675,119764397.18752742
1574443958.271264,111701536.97036578
1574443958.375038,114471968.93810883
1574443958.479066,115750803.48686154
1574443958.583147,115818657.02801819
1574443958.687189,115080256.6990911
1574443958.791094,115085222.5479801
1574443958.891189,119428591.23642771
1574443958.99459,111191882.66656823
1574443959.098776,115717603.57946178
1574443959.202716,115164491.45548205
1574443959.302814,119135280.43098156
1574443959.406366,111464349.50398938
1574443959.506445,118714885.33962646
1574443959.61027,112208966.70637546
1574443959.714418,115545080.19237536
1574443959.814483,118374199.36014265
1574443959.918178,110988009.74747758
1574443960.018298,119262710.01294044
1574443960.121998,110983669.48131552
1574443960.222092,117775134.98711006
1574443960.325911,112859419.97664753
1574443960.426022,119057518.85957828
1574443960.529527,111210327.04577106
1574443960.629596,119890798.39158122
1574443960.733134,111721626.78603388
1574443960.836985,114828948.594937
1574443960.940982,115781067.91106626
1574443961.044954,115137808.17933813
1574443961.145089,119013263.56637232
1574443961.248874,112357539.08675593
1574443961.352861,115581260.41716541
1574443961.456653,114344782.06089912
1574443961.56051,115177218.18692847
1574443961.664546,115978136.22568773
1574443961.768403,114830003.54749535
1574443961.872358,115394081.8695329
1574443961.976522,115737747.14079246
1574443962.08042,115478347.87645532
1574443962.184455,115184001.62376738
1574443962.284533,118906841.75784771
1574443962.388182,111450217.95678753
1574443962.488244,118957016.05240925
1574443962.59202,111659437.17567462
1574443962.692082,117207836.15749803
1574443962.79596,112574340.371873
1574443962.899989,115078937.38593149
1574443963.000061,119632600.09793676
1574443963.103548,111209045.34238125
1574443963.203656,118794741.08727647
1574443963.307228,111449203.87980959
1574443963.407311,119040777.41129364
1574443963.510966,112490968.9815769
1574443963.614844,115137282.4818528
1574443963.714911,119063478.81651773
1574443963.818625,111294390.17940043
1574443963.918708,118926112.75039385
